Treatment,Replicate,Value
Control,Rep1,91.81986887504803
Control,Rep1,92.03899104794944
Control,Rep1,108.55563953970628
Control,Rep1,93.00027203671465
Control,Rep1,94.60965853304769
Control,Rep1,96.15334613246472
Control,Rep1,88.7505852906928
Control,Rep1,96.38749695273223
Control,Rep1,91.66993885446152
Control,Rep1,91.16874338391864
Control,Rep1,104.22364903886033
Control,Rep1,95.36554427543615
Control,Rep1,84.74453357235947
Control,Rep1,110.3394290168752
Control,Rep1,92.81975233485535
Control,Rep1,112.53234234730961
Control,Rep1,112.94486575914706
Control,Rep1,91.58856331863348
Control,Rep1,111.62810895960806
Control,Rep1,89.48561043453839
Control,Rep1,84.27224883381407
Control,Rep1,94.19865515537796
Control,Rep1,86.59147577975531
Control,Rep1,103.28682983206286
Control,Rep1,82.14081845926192
Control,Rep1,103.0796627528619
Control,Rep1,109.94733165262093
Control,Rep1,110.43375697792511
Control,Rep1,97.71238278880837
Control,Rep1,101.22444053606816
Control,Rep1,92.72790041949948
Control,Rep1,83.93857309968625
Control,Rep1,99.5537378255093
Control,Rep1,80.71128198354951
Control,Rep1,83.48102008461368
Control,Rep1,93.59167062946108
Control,Rep1,98.9167683844516
Control,Rep1,99.01865697393751
Control,Rep1,118.25164934012719
Control,Rep1,91.70792639545304
Control,Rep1,95.08613839778283
Control,Rep1,99.25754786811989
Control,Rep1,109.34591973955527
Control,Rep1,98.17670901647838
Control,Rep1,85.30950116391382
Control,Rep1,100.17230350246956
Control,Rep1,91.51669682947588
Control,Rep1,88.50750416523924
Control,Rep1,107.0725466960204
Control,Rep1,97.2526155940559
Control,Rep1,102.73415278620124
Control,Rep1,98.82550273938212
Control,Rep1,84.26236667868088
Control,Rep1,116.34894730819838
Control,Rep1,90.76144829238592
Control,Rep1,100.99581556276549
Control,Rep1,103.21612738082491
Control,Rep1,94.98025429636034
Control,Rep1,103.18620294711779
Control,Rep1,84.10147736335573
Control,Rep1,90.04154980414059
Control,Rep1,93.56296757254114
Control,Rep1,103.63397516172863
Control,Rep1,107.32588064594347
Control,Rep1,104.29808443350302
Control,Rep1,104.40368287919155
Control,Rep1,106.6783484161501
Control,Rep1,84.52458614371186
Control,Rep1,100.08431304798694
Control,Rep1,85.54009030344135
Control,Rep1,87.56510558357238
Control,Rep1,111.64877274931736
Control,Rep1,91.92302918819497
Control,Rep1,106.81747398654359
Control,Rep1,95.99204789626128
Control,Rep1,87.91865933606864
Control,Rep1,99.90634001963122
Control,Rep1,103.78259323013643
Control,Rep1,94.2947822474776
Control,Rep1,89.69013518597706
Control,Rep1,91.25457557640539
Control,Rep1,88.0930475644461
Control,Rep1,104.33871182292273
Control,Rep1,111.66198149476129
Control,Rep1,109.06836562193027
Control,Rep1,85.40872991330004
Control,Rep1,106.52974743536676
Control,Rep1,88.56338515324536
Control,Rep1,99.91236491570778
Control,Rep1,99.71275626409609
Control,Rep1,94.3405799792107
Control,Rep1,80.4568777141962
Control,Rep1,88.94687045003951
Control,Rep1,117.41924664564456
Control,Rep1,98.01592833269152
Control,Rep1,93.41362549758664
Control,Rep1,110.65136740746479
Control,Rep1,88.89942313586161
Control,Rep1,97.7160918190776
Control,Rep1,98.43901803184492
Control,Rep1,86.18733335093307
Control,Rep1,98.48562809912974
Control,Rep1,106.43233340367068
Control,Rep1,94.70321460470142
Control,Rep1,103.98432752039346
Control,Rep1,95.23843915678367
Control,Rep1,99.69054208513069
Control,Rep1,101.66683384988929
Control,Rep1,108.74626859009908
Control,Rep1,94.03614918158551
Control,Rep1,78.83027488213484
Control,Rep1,90.86072756332658
Control,Rep1,100.24198172567931
Control,Rep1,113.33844909485697
Control,Rep1,97.36048700271861
Control,Rep1,91.69685354755417
Control,Rep1,103.90057822668346
Control,Rep1,104.64131845094447
Control,Rep1,90.38097206125924
Control,Rep1,98.28930020871188
Control,Rep1,112.11561265113852
Control,Rep1,98.67610629599193
Control,Rep1,92.7584281315761
Control,Rep1,91.7251620966241
Control,Rep1,102.10748902249067
Control,Rep1,96.13336921249841
Control,Rep1,97.69231602408313
Control,Rep1,108.8079196422756
Control,Rep1,77.48123388976711
Control,Rep1,89.42692723553148
Control,Rep1,91.52828785281062
Control,Rep1,100.79114990077206
Control,Rep1,98.35153171411834
Control,Rep1,93.69988311222826
Control,Rep1,110.47556240123232
Control,Rep1,100.55476720610098
Control,Rep1,87.73991533458124
Control,Rep1,106.06241357076058
Control,Rep1,97.82482454662356
Control,Rep1,99.19000847721105
Control,Rep1,97.29212446158246
Control,Rep1,106.88643577112707
Control,Rep1,99.5160327913988
Control,Rep1,127.76662537760978
Control,Rep1,101.74337621341374
Control,Rep1,87.11688738833725
Control,Rep1,80.55474731993642
Control,Rep1,111.25069714811696
Control,Rep1,94.05945804845356
Control,Rep1,85.43588542004127
Control,Rep1,109.65147300581879
Control,Rep1,115.47626215359557
Control,Rep1,82.3013165483023
Control,Rep1,88.27892376163004
Control,Rep1,108.39668724645043
Control,Rep1,103.15207927418386
Control,Rep1,96.6134401464538
Control,Rep1,126.86890521066914
Control,Rep1,110.71986108736348
Control,Rep1,97.69208660671353
Control,Rep1,93.9118413423569
Control,Rep1,102.37519188361541
Control,Rep1,88.03807249490782
Control,Rep1,100.28992337716718
Control,Rep1,106.65204253420399
Control,Rep1,107.4950731850204
Control,Rep1,88.69644986390236
Control,Rep1,88.48143411928591
Control,Rep1,110.77621045233582
Control,Rep1,78.55387989835887
Control,Rep1,85.35377690654295
Control,Rep1,110.08748947800458
Control,Rep1,106.48484975496542
Control,Rep1,100.87350671156153
Control,Rep1,94.1803240110608
Control,Rep1,98.34377079403919
Control,Rep1,108.70302001026147
Control,Rep1,104.09172821852587
Control,Rep1,107.4169934786552
Control,Rep1,96.11307362884583
Control,Rep1,78.77306210631953
Control,Rep1,91.99046764818291
Control,Rep1,91.07461354512365
Control,Rep1,88.8226237571917
Control,Rep1,108.99585240411847
Control,Rep1,92.73602225742032
Control,Rep1,101.36844078894043
Control,Rep1,95.21970421574409
Control,Rep1,82.96717095080018
Control,Rep1,104.22711965605978
Control,Rep1,85.9217893239809
Control,Rep1,98.74215667724268
Control,Rep1,86.58649586667894
Control,Rep1,94.63251988992356
Control,Rep1,85.56165375368045
Control,Rep1,105.90034593655231
Control,Rep1,98.66371678840754
Control,Rep1,88.61047996332533
Control,Rep1,95.29368004814243
Control,Rep1,100.52737518777926
Control,Rep1,125.13581903735698
Control,Rep1,90.74956712078793
Control,Rep1,109.65949049020973
Control,Rep1,94.10811148405506
Control,Rep1,107.02810102082788
Control,Rep1,89.99949833896005
Control,Rep1,88.74445825695241
Control,Rep1,102.56433050384706
Control,Rep1,93.28164858056894
Control,Rep1,112.31566122958579
Control,Rep1,96.14738005148597
Control,Rep1,91.23513762531098
Control,Rep1,103.62810872330412
Control,Rep1,96.66376561010053
Control,Rep1,106.8722814377474
Control,Rep1,106.32843230601712
Control,Rep1,106.4843465373187
Control,Rep1,87.2592179594268
Control,Rep1,115.65317108089988
Control,Rep1,99.04193856765079
Control,Rep1,89.91318101714093
Control,Rep1,94.49217253533413
Control,Rep1,101.12081266521523
Control,Rep1,96.77300969157038
Control,Rep1,96.65092496077389
Control,Rep1,91.5939416958728
Control,Rep1,96.1316229270119
Control,Rep1,85.93099010520747
Control,Rep1,107.13449171605102
Control,Rep1,95.86679138648812
Control,Rep1,107.13423198223317
Control,Rep1,113.13931842124101
Control,Rep1,105.19692451612121
Control,Rep1,105.9681582588675
Control,Rep1,114.98110926796465
Control,Rep1,88.55700862598452
Control,Rep1,101.27333177647084
Control,Rep1,108.0276100170219
Control,Rep1,107.84948798767549
Control,Rep1,66.93150862358772
Control,Rep1,106.40231464353745
Control,Rep1,98.2809130797787
Control,Rep1,95.16481210565505
Control,Rep1,106.60659316777554
Control,Rep1,99.94233034813054
Control,Rep1,113.43452756373895
Control,Rep1,85.0410461257152
Control,Rep1,97.82912772302575
Control,Rep1,95.85037321043387
Control,Rep1,103.91695620224729
Control,Rep1,86.60207676506128
Control,Rep1,101.74462241143884
Control,Rep1,104.28593284395272
Control,Rep1,93.5714345008968
Control,Rep1,94.60811366519702
Control,Rep1,96.81970513987355
Control,Rep1,96.74870677665282
Control,Rep1,128.26358337455991
Control,Rep1,114.16012810368429
Control,Rep1,100.37021486822184
Control,Rep1,90.38485420934306
Control,Rep1,96.3016349872771
Control,Rep1,120.36720384899041
Control,Rep1,103.89525096595472
Control,Rep1,94.78889582001086
Control,Rep1,100.44475576612665
Control,Rep1,94.92031088467236
Control,Rep1,115.72193622712065
Control,Rep1,111.24741086617937
Control,Rep1,98.83476398159623
Control,Rep1,101.83603656452628
Control,Rep1,86.67571818526424
Control,Rep1,87.84822476262768
Control,Rep1,98.127892208577
Control,Rep1,100.09013295792066
Control,Rep1,110.76601124983678
Control,Rep1,90.53119812166622
Control,Rep1,107.26302846606525
Control,Rep1,112.75838459939912
Control,Rep1,118.73950231784139
Control,Rep1,106.73520457351049
Control,Rep1,110.63646025931018
Control,Rep1,86.62899476960301
Control,Rep1,96.6166742996187
Control,Rep1,99.71061091038803
Control,Rep1,102.64707474196575
Control,Rep1,93.10372383950353
Control,Rep1,100.15886300942725
Control,Rep1,86.1609282390792
Control,Rep1,93.09014434100433
Control,Rep1,84.98049007257102
Control,Rep1,87.43818755434769
Control,Rep1,96.44292646977829
Control,Rep1,104.31991019803877
Control,Rep1,91.41836447594628
Control,Rep1,83.21932583995502
Control,Rep1,86.51117777985917
Control,Rep1,97.64013298774242
Control,Rep1,114.53761385896587
Control,Rep1,106.26192183840064
Control,Rep1,108.88297832179596
Control,Rep1,113.87239003952303
Control,Rep1,105.65361373740433
Control,Rep1,91.01110620615358
Control,Rep1,104.18204455689471
Control,Rep1,109.59305277541878
Control,Rep1,88.05840387369581
Control,Rep1,87.02812041409369
Control,Rep1,81.72227241562456
Control,Rep1,89.66237326072962
Control,Rep1,89.13206205290693
Control,Rep1,102.85595383558315
Control,Rep1,96.58862340070544
Control,Rep1,86.95003006671325
Control,Rep1,106.25871982557325
Control,Rep1,101.60278979511888
Control,Rep1,99.86600032927736
Control,Rep1,89.96665204220342
Control,Rep1,80.02746533643545
Control,Rep1,103.3066737463516
Control,Rep1,110.89183126664378
Control,Rep1,73.84595687973209
Control,Rep1,107.08895807699012
Control,Rep1,112.85274063855339
Control,Rep1,105.22492883173194
Control,Rep1,94.60422957181264
Control,Rep1,88.62440685742526
Control,Rep1,89.08521835006614
Control,Rep1,108.45825826412212
Control,Rep1,103.2054367504229
Control,Rep1,103.03169607305341
Control,Rep1,113.73223627070769
Control,Rep1,98.12903414821879
Control,Rep1,70.36477249340955
Control,Rep1,89.0292429955636
Control,Rep1,97.92302046828374
Control,Rep1,82.46332899692652
Control,Rep1,90.18062328154643
Control,Rep1,104.01943814653612
Control,Rep1,104.94762643512533
Control,Rep1,106.82008546728824
Control,Rep1,89.07245255197137
Control,Rep1,97.24428352127208
Control,Rep1,74.04161528367743
Control,Rep1,98.30322754998612
Control,Rep1,99.80228767573256
Control,Rep1,92.73645535604975
Control,Rep1,93.68780055839548
Control,Rep1,105.10668225406961
Control,Rep1,105.59308698345535
Control,Rep1,109.56080170681811
Control,Rep1,110.76689301260082
Control,Rep1,94.80073618803105
Control,Rep1,92.2941814941538
Control,Rep1,101.6404924842818
Control,Rep1,90.7773054384153
Control,Rep1,89.87724329972094
Control,Rep1,107.7805807443395
Control,Rep1,100.44749912967754
Control,Rep1,92.2267282947139
Control,Rep1,106.85995828086274
Control,Rep1,90.46690666950104
Control,Rep1,106.28928522110203
Control,Rep1,85.74485973838227
Control,Rep1,117.03120823684408
Control,Rep1,113.09651242732825
Control,Rep1,109.97950349088464
Control,Rep1,94.63712763319371
Control,Rep1,95.55622235399169
Control,Rep1,85.30310071815606
Control,Rep1,97.08319131589614
Control,Rep1,89.21769082475176
Control,Rep1,110.55018208783983
Control,Rep1,83.02775761109922
Control,Rep1,88.75892099619556
Control,Rep1,86.8281783150907
Control,Rep1,77.23115788599763
Control,Rep1,92.80744538093333
Control,Rep1,79.3606684112714
Control,Rep1,101.53671709632295
Control,Rep1,90.49640048381862
Control,Rep1,114.00188436172364
Control,Rep1,92.22551416870984
Control,Rep1,117.93453202973036
Control,Rep1,98.36181079229385
Control,Rep1,107.39651993173909
Control,Rep1,104.35203743408243
Control,Rep1,91.63321994099672
Control,Rep1,113.86023791105517
Control,Rep1,106.54301222709502
Control,Rep1,108.15659089630195
Control,Rep1,90.932330036269
Control,Rep1,101.82383894432874
Control,Rep1,90.34838041037354
Control,Rep1,87.42527626884447
Control,Rep1,101.56591473530989
Control,Rep1,98.10170675517814
Control,Rep1,115.63924448332213
Control,Rep1,93.50809321100549
Control,Rep1,98.2426112951053
Control,Rep1,89.70801179416912
Control,Rep1,87.51654462580404
Control,Rep1,97.72622221825722
Control,Rep1,117.59272522746781
Control,Rep1,79.32487098779825
Control,Rep1,93.50609213447675
Control,Rep1,85.15017298518111
Control,Rep1,84.46702641143784
Control,Rep1,114.28314994383516
Control,Rep1,90.90532791271524
Control,Rep1,100.68594908155323
Control,Rep1,106.93004624588848
Control,Rep1,107.38980001369058
Control,Rep1,83.46948166226123
Control,Rep1,87.9755491625732
Control,Rep1,97.32232357281
Control,Rep1,119.59065899175295
Control,Rep1,96.44186333867407
Control,Rep1,102.41940475974066
Control,Rep1,67.74902344129359
Control,Rep1,85.59921063812872
Control,Rep1,87.17440187054498
Control,Rep1,87.07198822643193
Control,Rep1,94.75073458050535
Control,Rep1,89.82794926910671
Control,Rep1,94.77920693478062
Control,Rep1,99.37785321065112
Control,Rep1,103.22406331820027
Control,Rep1,93.17466839225621
Control,Rep1,96.1510755237028
Control,Rep1,104.6840627300462
Control,Rep1,97.09611278192529
Control,Rep1,97.24210560434004
Control,Rep1,97.76789470001653
Control,Rep1,98.11949582847988
Control,Rep1,107.58086369618026
Control,Rep1,100.36436635284988
Control,Rep1,81.34214338571567
Control,Rep1,99.56136916452934
Control,Rep1,91.39643649814347
Control,Rep1,88.75015436336516
Control,Rep1,105.75965334833538
Control,Rep1,88.31569331067685
Control,Rep1,100.78225163290023
Control,Rep1,101.41631774949046
Control,Rep1,92.89184344251635
Control,Rep1,88.56478776305063
Control,Rep1,108.33179214973364
Control,Rep1,107.5483761363709
Control,Rep1,103.01182976269607
Control,Rep1,97.01674337132282
Control,Rep1,105.01638858567487
Control,Rep1,98.09297210149315
Control,Rep1,97.57233342453362
Control,Rep1,108.69364680520087
Control,Rep1,119.87867305368631
Control,Rep1,82.31277036032967
Control,Rep1,118.14731571948855
Control,Rep1,98.96992875338394
Control,Rep1,98.74939433921305
Control,Rep1,99.88472083700177
Control,Rep1,97.60735740355847
Control,Rep1,104.84096605332039
Control,Rep1,83.08200240951409
Control,Rep1,104.26401078318831
Control,Rep1,105.57922523618663
Control,Rep1,92.63516615468605
Control,Rep1,90.28885734412788
Control,Rep1,101.52976655394336
Control,Rep1,100.0098282556124
Control,Rep1,97.90539185808552
Control,Rep1,107.86078111803687
Control,Rep1,101.0856335875315
Control,Rep1,107.81316484769116
Control,Rep1,94.39236361198805
Control,Rep1,88.7916265823736
Control,Rep1,102.09581569078823
Control,Rep1,104.27567866673039
Control,Rep1,106.03683692876622
Control,Rep1,90.15794477786532
Control,Rep1,104.10982792447852
Control,Rep1,98.11255997088219
Control,Rep1,98.04477737961565
Control,Rep1,111.26754032833233
Control,Rep1,91.30121790890439
Control,Rep1,99.45276190228017
Control,Rep1,97.98146684767008
Control,Rep1,104.16742224733682
Control,Rep1,79.30742592041656
Control,Rep1,96.50621621462406
Control,Rep1,116.36517580202771
Control,Rep1,81.73002159396705
Control,Rep1,91.32453262155866
Control,Rep1,105.62468165277197
Control,Rep1,82.2579065676635
Control,Rep1,99.99958379353112
Control,Rep1,96.2637635745071
Control,Rep1,102.61899700474208
Control,Rep1,104.7423022866801
Control,Rep1,86.52522066929356
Control,Rep1,98.35557715641895
Control,Rep1,91.65285066326399
Control,Rep1,86.75760313643087
Control,Rep1,104.23723271198287
Control,Rep1,91.53485925901988
Control,Rep1,88.80209470416986
Control,Rep1,87.44554563114842
Control,Rep1,92.88120872734703
Control,Rep1,92.78609965565143
Control,Rep1,108.33713002603488
Control,Rep1,108.1953838118618
Control,Rep1,85.57487234697693
Control,Rep1,105.17493834298692
Control,Rep1,90.93827819084609
Control,Rep1,114.59461850505713
Control,Rep1,104.79130835081064
Control,Rep1,92.60455907419987
Control,Rep1,119.19625548995157
Control,Rep1,94.78817341275536
Control,Rep1,102.01658086577766
Control,Rep1,95.19008919785989
Control,Rep1,94.21989202438174
Control,Rep1,90.48088917458598
Control,Rep1,91.47002070855868
Control,Rep1,102.24433012590357
Control,Rep1,99.65792620282295
Control,Rep1,92.2783752281023
Control,Rep1,96.49531610017739
Control,Rep1,112.91617327001782
Control,Rep1,94.14590628415384
Control,Rep1,86.06863264403276
Control,Rep1,111.68416300753495
Control,Rep1,90.54771085534011
Control,Rep1,82.01347513828121
Control,Rep1,104.7304775878526
Control,Rep1,81.30721564583597
Control,Rep1,96.63668796210506
Control,Rep1,91.89803529624275
Control,Rep1,87.54616835366383
Control,Rep1,105.04570086579
Control,Rep1,106.98127126995912
Control,Rep1,108.26503124813897
Control,Rep1,97.69279408819637
Control,Rep1,93.94147318438547
Control,Rep1,98.05582385396598
Control,Rep1,99.32026496343974
Control,Rep1,80.834992938016
Control,Rep1,102.1847279659714
Control,Rep1,109.39631499133054
Control,Rep1,101.97436028282456
Control,Rep1,92.09035895953949
Control,Rep1,93.7432329425353
Control,Rep1,88.12268179207604
Control,Rep1,105.56448361376138
Control,Rep1,103.30236001630577
Control,Rep1,95.96608407258603
Control,Rep1,81.84829208455528
Control,Rep1,105.42984723716768
Control,Rep1,92.31635026530003
Control,Rep1,95.88682871277224
Control,Rep1,105.76164791022465
Control,Rep1,102.49988601920876
Control,Rep1,102.63884720363221
Control,Rep1,120.97256863446435
Control,Rep1,95.18469264574287
Control,Rep1,114.35191410484917
Control,Rep1,105.16747822831867
Control,Rep1,104.02354267157371
Control,Rep1,91.89744194895522
Control,Rep1,101.84131015508311
Control,Rep1,104.2456378945536
Control,Rep1,86.89254765459373
Control,Rep1,92.93565548192193
Control,Rep1,86.0211673003507
Control,Rep1,108.25827870002382
Control,Rep1,98.64663088673936
Control,Rep1,95.46725825288352
Control,Rep1,118.54302640714599
Control,Rep1,107.42253075115401
Control,Rep1,105.3997163275146
Control,Rep1,115.43597852941704
Control,Rep1,96.04106558827203
Control,Rep1,99.66791047147781
Control,Rep1,88.30523727289004
Control,Rep1,105.49286892601634
Control,Rep1,109.63221856865785
Control,Rep1,103.40508471656301
Control,Rep1,112.24801834041578
Control,Rep1,98.33649805510497
Control,Rep1,95.47885291393001
Control,Rep1,99.55376333150157
Control,Rep1,81.54332563486959
Control,Rep1,88.70045451926251
Control,Rep1,100.7216278845394
Control,Rep1,97.26216084063434
Control,Rep1,91.67945042144498
Control,Rep1,91.40888502184595
Control,Rep1,90.88245140721992
Control,Rep1,87.82882863156546
Control,Rep1,96.92048356945092
Control,Rep1,101.63303946710292
Control,Rep1,94.53474246605592
Control,Rep1,117.87802870407396
Control,Rep1,80.45380149307398
Control,Rep1,109.2332201957978
Control,Rep1,102.66334142053682
Control,Rep1,98.53651872271068
Control,Rep1,102.29878642859781
Control,Rep1,92.14317578329499
Control,Rep1,96.34400756025032
Control,Rep1,116.03017378258055
Control,Rep1,105.75088452589985
Control,Rep1,101.7879482080749
Control,Rep1,94.44832132356048
Control,Rep1,87.8214723855661
Control,Rep1,104.13001379620916
Control,Rep1,100.38341337011323
Control,Rep1,105.66807046010891
Control,Rep1,87.84470555535746
Control,Rep1,85.7563699814899
Control,Rep1,101.6289436253735
Control,Rep1,88.71652877218952
Control,Rep1,82.38343763967241
Control,Rep1,97.47765909699561
Control,Rep1,119.01519693590983
Control,Rep1,102.17348924794499
Control,Rep1,102.15348815960776
Control,Rep1,92.64928889221112
Control,Rep1,90.21208177473244
Control,Rep1,78.60636534132252
Control,Rep1,92.55232058816588
Control,Rep1,98.0800283791569
Control,Rep1,93.54098418034741
Control,Rep1,96.3583510939977
Control,Rep1,99.74662095395541
Control,Rep1,127.50061424829165
Control,Rep1,97.63592330629321
Control,Rep1,98.26911222316781
Control,Rep1,115.49248621483379
Control,Rep1,94.69929021660198
Control,Rep1,110.69646527921127
Control,Rep1,111.16090479052907
Control,Rep1,101.20641121941742
Control,Rep1,93.4139462192208
Control,Rep1,93.50217671591702
Control,Rep1,85.96436233836506
Control,Rep1,92.0774378962349
Control,Rep1,108.41337779518757
Control,Rep1,96.37623827077846
Control,Rep1,101.93183846441791
Control,Rep1,90.10571131198832
Control,Rep1,93.53092918370218
Control,Rep1,74.61772957838457
Control,Rep1,78.38965873907762
Control,Rep1,99.54948851905866
Control,Rep1,93.66515451785844
Control,Rep1,114.7028927832385
Control,Rep1,92.79164302381811
Control,Rep1,119.51498843528974
Control,Rep1,101.85617720688415
Control,Rep1,97.99138299306023
Control,Rep1,96.85613666463423
Control,Rep1,94.20154871585868
Control,Rep1,96.06210845529552
Control,Rep1,106.08805402533106
Control,Rep1,110.83877917183992
Control,Rep1,102.60593350841471
Control,Rep1,83.10759770964017
Control,Rep1,86.31574281037037
Control,Rep1,87.70619201963952
Control,Rep1,84.1288621281949
Control,Rep1,85.43887345313732
Control,Rep1,90.1223624522582
Control,Rep1,102.71324840440911
Control,Rep1,105.33303907904521
Control,Rep1,100.17701190908546
Control,Rep1,91.61898235277188
Control,Rep1,120.73343800212731
Control,Rep1,94.21465895568055
Control,Rep1,89.34659994140578
Control,Rep1,100.2251476120521
Control,Rep1,90.2060471811341
Control,Rep1,89.03995899938901
Control,Rep1,87.10552979586936
Control,Rep1,105.35874547071796
Control,Rep1,106.48563302691869
Control,Rep1,94.71822438070488
Control,Rep1,113.26686384992043
Control,Rep1,103.30506309291013
Control,Rep1,110.67684286800448
Control,Rep1,81.8976973535801
Control,Rep1,100.49236419220516
Control,Rep1,101.32657931167428
Control,Rep1,105.48826658449212
Control,Rep1,97.92172467253303
Control,Rep1,109.31028705505899
Control,Rep1,89.29933994380346
Control,Rep1,107.92364744129527
Control,Rep1,78.53516008707632
Control,Rep1,100.3708205054813
Control,Rep1,99.81786210745797
Control,Rep1,82.95117763090937
Control,Rep1,95.80566078157383
Control,Rep1,108.06083461897906
Control,Rep1,94.8579218615846
Control,Rep1,99.49055431253608
Control,Rep1,99.58287033440463
Control,Rep1,93.83143999357543
Control,Rep1,99.1704890006587
Control,Rep1,100.80805438516037
Control,Rep1,111.67638595742208
Control,Rep1,82.80031232416448
Control,Rep1,108.34348392854272
Control,Rep1,97.53335333279594
Control,Rep1,105.06013745661245
Control,Rep1,99.86659387757288
Control,Rep1,98.08931861433678
Control,Rep1,102.91135723975883
Control,Rep1,94.07105712801726
Control,Rep1,112.7387698552409
Control,Rep1,83.17031582047208
Control,Rep1,85.33402722616525
Control,Rep1,86.9996027257206
Control,Rep1,106.83024743242868
Control,Rep1,89.06739178358255
Control,Rep1,102.13956366701356
Control,Rep1,96.56995135271308
Control,Rep1,99.23830740505485
Control,Rep1,110.53494224502889
Control,Rep1,98.9813903602034
Control,Rep1,114.12593710453899
Control,Rep1,105.27247175998127
Control,Rep1,94.21423350263535
Control,Rep1,121.30731718684328
Control,Rep1,97.63736302315739
Control,Rep1,96.77110555407083
Control,Rep1,93.71853337135538
Control,Rep1,102.95454774161308
Control,Rep1,82.33173284411859
Control,Rep1,77.99626097889227
Control,Rep1,93.68759171448197
Control,Rep1,87.83588048536099
Control,Rep1,106.32171597615167
Control,Rep1,99.6122654565729
Control,Rep1,107.73748414313523
Control,Rep1,84.9166675664984
Control,Rep1,109.00566989994905
Control,Rep1,118.32156267384158
Control,Rep1,104.60146046462467
Control,Rep1,105.32285536347204
Control,Rep1,100.44408089056827
Control,Rep1,83.33960306886428
Control,Rep1,107.95070886505324
Control,Rep1,102.17893638440876
Control,Rep1,94.14884585884127
Control,Rep1,99.78064043304987
